subject_id,true_preset,selected_baseline,evallik_Bari2019,evallik_Hattori2019,evallik_CompareToThreshold,evallik_RescorlaWagner
synth117,Bari2019,CompareToThreshold,0.5242439565737127,0.5317883474490483,0.5329007390701358,0.4946964565091024
synth118,Hattori2019,Hattori2019,0.7831145935753666,0.8032218484221988,0.7836388126084051,0.6922159286423505
synth119,RescorlaWagner,Bari2019,0.8769132270583925,0.868424826710013,0.8641602298325378,0.8011167398324593
synth120,Bari2019,CompareToThreshold,0.842858995890259,0.8118107676785239,0.8436398803742389,0.6270088108490457
synth121,Hattori2019,Hattori2019,0.8457160700755375,0.8465534791668504,0.8372634021319878,0.7418027873136053
synth122,RescorlaWagner,RescorlaWagner,0.805886103002534,0.7985288405388821,0.7877317153647385,0.8135896807644801
synth123,Bari2019,Bari2019,0.9467899663815128,0.9234117098369878,0.9465709786433536,0.6242671472469387
synth124,Hattori2019,Hattori2019,0.6747145371418057,0.6830502465425802,0.6654220279239127,0.6164885022012413
synth125,RescorlaWagner,Bari2019,0.7034255502643398,0.6796115179301799,0.6751344587965205,0.6923064720362255
synth126,Bari2019,Bari2019,0.7065373930177005,0.6936943645793779,0.7063773724593223,0.5927166384918248
synth127,Hattori2019,Hattori2019,0.8346514747789079,0.8631741365522025,0.8214021389150835,0.7671414892959676
synth128,RescorlaWagner,Hattori2019,0.8971964719643676,0.8977925365958739,0.8938631138951203,0.8775843015126955
synth129,Bari2019,CompareToThreshold,0.9721345654763516,0.9609339206225108,0.9723331943240768,0.5656697297012799
synth130,Hattori2019,Bari2019,0.8466627596520524,0.8461583991002529,0.8420512775048452,0.7385613514444016
synth131,RescorlaWagner,Hattori2019,0.7604623303342974,0.8007368205344795,0.7666245561382349,0.6152106742361138
synth132,Bari2019,Bari2019,0.8213690171427638,0.7709048830127465,0.8210453471119668,0.572931767024584
synth133,Hattori2019,Hattori2019,0.9435537743427964,0.9468327354121404,0.944160183537434,0.8617432515394337
synth134,RescorlaWagner,Bari2019,0.6707631208111948,0.6510428864646232,0.6517814365509422,0.6681121654867237
synth135,Bari2019,CompareToThreshold,0.9586223405814456,0.9417028285722906,0.9586733938145467,0.6453294759702891
synth136,Hattori2019,Hattori2019,0.5857743237007351,0.5863821464742289,0.5821896553666814,0.5028427064509559
synth137,RescorlaWagner,CompareToThreshold,0.7359799692927242,0.7364676016484331,0.7389390705635814,0.6611840861448526
synth138,Bari2019,Bari2019,0.7396054072618627,0.7167848890410294,0.7386515961130398,0.5588589514762139
synth139,Hattori2019,Hattori2019,0.7951444132386595,0.7959595640259983,0.7819940216221576,0.6934196825852508
synth140,RescorlaWagner,Hattori2019,0.8249483832150075,0.8491988796571767,0.8379288809017018,0.5719892281071309
synth141,Bari2019,Bari2019,0.778630098079581,0.7631248020639311,0.7771664020776051,0.6140496317461387
synth142,Hattori2019,CompareToThreshold,0.5698189150043795,0.570460221619666,0.571929816777557,0.5048205957752705
synth143,RescorlaWagner,Bari2019,0.6606713438778766,0.6130470327611527,0.6485878330284277,0.5976877608595685
synth144,Bari2019,CompareToThreshold,0.6345578278241107,0.6528448900223973,0.6548844074320012,0.5403393451359844
synth145,Hattori2019,Hattori2019,0.6661655959950352,0.6859669864378042,0.6266207936439206,0.6255225535019584
synth146,RescorlaWagner,Hattori2019,0.6929905272232741,0.7531449463164447,0.7399950088388261,0.4435752410482282
synth147,Bari2019,CompareToThreshold,0.6147261890098085,0.6125362405477135,0.6154590726309318,0.5703106284409638
synth148,Hattori2019,Hattori2019,0.8862326854805562,0.8888986475022385,0.8845488183188933,0.7776455234010103
synth149,RescorlaWagner,Bari2019,0.9177686724850148,0.9117749390476756,0.9067013131745466,0.8767058685596409
synth150,Bari2019,CompareToThreshold,0.9266065409378892,0.891603746985014,0.9296846992772484,0.5092810573904689
synth151,Hattori2019,Hattori2019,0.7026963846527174,0.7068228845722135,0.7060559247013879,0.5469408226591129
synth152,RescorlaWagner,Hattori2019,0.8294759299880851,0.8397425968280092,0.8165358448130552,0.5155478410657143
synth153,Bari2019,Bari2019,0.6591523279138718,0.6448253713979443,0.649026575620805,0.5721300621997878
synth154,Hattori2019,Hattori2019,0.8509003374146478,0.8538219061651082,0.8473078906927395,0.7525922790937151
synth155,RescorlaWagner,Bari2019,0.8073399050487267,0.7964456978025817,0.7985945179121814,0.7777757131806262
synth156,Bari2019,CompareToThreshold,0.9164051122572312,0.9034222767694416,0.9235451422003934,0.6428398840341574
synth157,Hattori2019,Hattori2019,0.9020379837955628,0.9085916931469498,0.9014340422760856,0.7080758385240788
synth158,RescorlaWagner,Bari2019,0.9258197435822704,0.916552309436798,0.9184137818181866,0.8749130910801317
synth159,Bari2019,Hattori2019,0.7907268329825761,0.8205040037715687,0.7727674931398663,0.5728783012354607
synth160,Hattori2019,Hattori2019,0.8766256094689496,0.8796066540524957,0.8742831871095434,0.7796764310728778
synth161,RescorlaWagner,Bari2019,0.90458118688698,0.8993214494921081,0.898693614600237,0.8374618542460853
synth162,Bari2019,CompareToThreshold,0.9410548692921976,0.915535046317906,0.9411051546133264,0.5461627645614617
synth163,Hattori2019,Hattori2019,0.6230561826789741,0.6260520287109342,0.6238187047729451,0.5181661020789978
synth164,RescorlaWagner,RescorlaWagner,0.7047176101052992,0.6962890551624018,0.6872924517332099,0.7235483349960921
synth165,Bari2019,Bari2019,0.8118966998355082,0.7758241231398302,0.8080799088351942,0.573260048532314
synth166,Hattori2019,Hattori2019,0.863742064441796,0.8657785512890527,0.8610981474203258,0.7567098227614302
synth167,RescorlaWagner,Bari2019,0.7648505059519802,0.7575595705855153,0.7476633995886943,0.7207924545162532
synth168,Bari2019,CompareToThreshold,0.7147588119477782,0.7078784759611919,0.7154666190650957,0.5953231992455197
synth169,Hattori2019,Bari2019,0.6639345715897491,0.6498853572956338,0.644163145984588,0.6192626830533206
synth170,RescorlaWagner,Hattori2019,0.6709527189116312,0.6915431284635728,0.6833120943637727,0.4986118875554133
synth171,Bari2019,CompareToThreshold,0.5216175553834647,0.5221403244230794,0.5236386010692109,0.4912954778123709
synth172,Hattori2019,Hattori2019,0.7044446812304795,0.7217171397116584,0.7049567818209956,0.6012769272006979
synth173,RescorlaWagner,Hattori2019,0.7414603901930564,0.7771472336568112,0.76919113813545,0.5328694141284082
synth174,Bari2019,Bari2019,0.7486429878268841,0.7287345129142393,0.7459751560242912,0.600275375183974
synth175,Hattori2019,Hattori2019,0.7905587138031464,0.8083534639054529,0.790185727158228,0.719735770518867
synth176,RescorlaWagner,Bari2019,0.9069981709376,0.904460634402071,0.8997696860762942,0.5974446630220284
synth177,Bari2019,CompareToThreshold,0.9407110509850986,0.9200509010956222,0.9409297894409802,0.6221837133830942
synth178,Hattori2019,Hattori2019,0.6379417660348617,0.6428746770225623,0.6320181993261892,0.5851804722391482
synth179,RescorlaWagner,Hattori2019,0.6941842200937509,0.7021774221529429,0.6906884953798497,0.5980776492048837
synth180,Bari2019,Bari2019,0.585266282766272,0.5847440291328625,0.5847300791310582,0.5218673478683616
synth181,Hattori2019,Hattori2019,0.6758351699992577,0.6802615997668163,0.6712502396880597,0.5628382857264721
synth182,RescorlaWagner,CompareToThreshold,0.8139052532853196,0.8158288243693406,0.8161543391107519,0.6024674048828016
synth183,Bari2019,Bari2019,0.6553994996565683,0.6431657273136805,0.6471110427168616,0.5600688013999597
synth184,Hattori2019,Hattori2019,0.8335543687789712,0.8346474781707351,0.8295100539940419,0.7213346175668723
synth185,RescorlaWagner,Hattori2019,0.8510000156037962,0.8573783421884079,0.8497057054806363,0.6558714204125167
synth186,Bari2019,CompareToThreshold,0.6800992050205816,0.6767326610998334,0.6804856857621648,0.57734276066884
synth187,Hattori2019,Hattori2019,0.5879128848741417,0.5913171522201026,0.5849488910237894,0.4870243020287619
synth188,RescorlaWagner,RescorlaWagner,0.7791670274011969,0.7679368572865758,0.7610267265071353,0.7967993358842165
synth189,Bari2019,CompareToThreshold,0.8157479560072906,0.7911405987233043,0.8211610535864046,0.6433366647616942
synth190,Hattori2019,Hattori2019,0.7931088491431646,0.8065446847505928,0.7907347023619039,0.6639026467659113
synth191,RescorlaWagner,Hattori2019,0.7861434090135138,0.7870125526808464,0.7808466150204081,0.6667239821177641
synth192,Bari2019,CompareToThreshold,0.9602504125553936,0.947751887691191,0.9606487703320592,0.6119758277980374
synth193,Hattori2019,Hattori2019,0.8341553747722484,0.8534054033405978,0.8336774735924899,0.7233305956571903
synth194,RescorlaWagner,Bari2019,0.6998391766179399,0.686411731049432,0.6842869512555606,0.6421945261933665
synth195,Bari2019,CompareToThreshold,0.5319156085584282,0.5331066348858501,0.5336705228689184,0.5056426839378984
synth196,Hattori2019,Hattori2019,0.7091478703254914,0.7100599188466952,0.7090762615981995,0.6312202932751656
synth197,RescorlaWagner,Bari2019,0.6668200937691064,0.6539168756146758,0.6495851049680198,0.6664307228595019
synth198,Bari2019,Bari2019,0.7563726124768724,0.7384231049478045,0.7510556664973312,0.574089489751823
synth199,Hattori2019,Hattori2019,0.6221078168676617,0.6222872385389786,0.6221207387429092,0.5800262696240954
