true_preset,subject_id,param,true_initial,true_centroid,fitted_static
Bari2019,synth111,biasL,-0.9687393092161676,-1.179017267920579,-0.345942348931017
Bari2019,synth111,choice_kernel_relative_weight,0.4862226962187743,0.4862226962187743,0.1166840848826319
Bari2019,synth111,forget_rate_unchosen,0.1756380640816798,0.1756380640816798,0.934672362670938
Bari2019,synth111,learn_rate,0.6658562008460156,0.5379788796295489,0.0212254723286886
Bari2019,synth111,softmax_inverse_temperature,4.539247860464456,5.574479339135838,9.40960302761154
Bari2019,synth114,biasL,0.1198634124123454,0.0303220933992434,0.0212542033808859
Bari2019,synth114,choice_kernel_relative_weight,0.2767788093052228,0.2767788093052228,0.0926969755224779
Bari2019,synth114,forget_rate_unchosen,0.0530161225915202,0.0530161225915202,0.9165538391814848
Bari2019,synth114,learn_rate,0.4396041437208848,0.4817777605053871,0.0798056212629023
Bari2019,synth114,softmax_inverse_temperature,3.744357429441513,4.232415869050376,5.507509434038037
Bari2019,synth117,biasL,-1.3763043790351086,-1.2817277704136414,-0.6454082928844624
Bari2019,synth117,choice_kernel_relative_weight,0.1192588102387708,0.1192588102387708,0.2654813790230619
Bari2019,synth117,forget_rate_unchosen,0.0176103267224503,0.0176103267224503,0.0546786055426088
Bari2019,synth117,learn_rate,0.468252314965461,0.3609694902273029,0.4473766376642002
Bari2019,synth117,softmax_inverse_temperature,4.115250544375741,4.536524544833499,2.5297671569511926
Bari2019,synth120,biasL,1.628182473866667,1.4748739946994474,0.9606848872340612
Bari2019,synth120,choice_kernel_relative_weight,0.2044348259064508,0.2044348259064508,0.3434814270157232
Bari2019,synth120,forget_rate_unchosen,0.1043369014386591,0.1043369014386591,0.0127726005923881
Bari2019,synth120,learn_rate,0.2550977791504497,0.2588219839941391,0.4569131294728129
Bari2019,synth120,softmax_inverse_temperature,12.441325387430943,10.31595492922231,6.199517910866563
Bari2019,synth123,biasL,0.1893700903535289,0.2691993462650743,0.1398743699736444
Bari2019,synth123,choice_kernel_relative_weight,0.3126463078939629,0.3126463078939629,0.6010187338319646
Bari2019,synth123,forget_rate_unchosen,0.333854412221808,0.333854412221808,0.0027361008969609
Bari2019,synth123,learn_rate,0.8302467340369646,0.8351371520793051,0.9547813639839374
Bari2019,synth123,softmax_inverse_temperature,15.139716733008257,14.449743852524438,7.694680593912959
Bari2019,synth126,biasL,-0.3320135560647544,-0.5948637257473868,-0.27844622199409
Bari2019,synth126,choice_kernel_relative_weight,0.2488717094392781,0.2488717094392781,0.1728827399060513
Bari2019,synth126,forget_rate_unchosen,0.1478125692889111,0.1478125692889111,1.0
Bari2019,synth126,learn_rate,0.634159474028258,0.6728199866119582,0.0865900477959518
Bari2019,synth126,softmax_inverse_temperature,7.595934883905992,6.136428096878388,4.793373628889167
Bari2019,synth129,biasL,0.593801617537074,0.3888391332001768,-0.1277097716227912
Bari2019,synth129,choice_kernel_relative_weight,0.4976386516865015,0.4976386516865015,0.7095435831061615
Bari2019,synth129,forget_rate_unchosen,0.0364722316648863,0.0364722316648863,0.0013355274977802
Bari2019,synth129,learn_rate,0.5470960064714107,0.7219298452705374,0.9064347479611266
