true_family,subject_id,param,true_initial,gru_pred_static
QLearning,synth108,choice_kernel_relative_weight,0.0061153454092057,-0.0399700950302784
QLearning,synth108,forget_rate_unchosen,0.1994514613098198,0.1365384899540119
QLearning,synth108,learn_rate,0.5396994403051181,0.817156264202108
QLearning,synth108,softmax_inverse_temperature,12.137143571309656,12.875620534383431
QLearning,synth111,biasL,-0.9687393092161676,-0.5324621318362741
QLearning,synth111,choice_kernel_relative_weight,0.4862226962187743,0.4015459733626882
QLearning,synth111,forget_rate_unchosen,0.1756380640816798,0.1798543272206095
QLearning,synth111,learn_rate,0.6658562008460156,0.7191400105637176
QLearning,synth111,softmax_inverse_temperature,4.539247860464456,7.252874114740186
QLearning,synth114,biasL,0.1198634124123454,-0.1278657087406456
QLearning,synth114,choice_kernel_relative_weight,0.2767788093052228,0.2603783159268973
QLearning,synth114,forget_rate_unchosen,0.0530161225915202,0.1564036226351449
QLearning,synth114,learn_rate,0.4396041437208848,0.6639898093777841
QLearning,synth114,softmax_inverse_temperature,3.744357429441513,4.688528012252999
QLearning,synth117,biasL,-1.3763043790351086,-0.9057975042116057
QLearning,synth117,choice_kernel_relative_weight,0.1192588102387708,0.1378479629769035
QLearning,synth117,forget_rate_unchosen,0.0176103267224503,0.1433774128062642
QLearning,synth117,learn_rate,0.468252314965461,0.6620011270563405
QLearning,synth117,softmax_inverse_temperature,4.115250544375741,4.174178403878256
QLearning,synth120,biasL,1.628182473866667,0.7473925594262281
QLearning,synth120,choice_kernel_relative_weight,0.2044348259064508,0.2697689795750454
QLearning,synth120,forget_rate_unchosen,0.1043369014386591,0.1667545520304347
QLearning,synth120,learn_rate,0.2550977791504497,0.5535133775942276
QLearning,synth120,softmax_inverse_temperature,12.441325387430943,8.928159945481008
QLearning,synth123,biasL,0.1893700903535289,0.0084208102455689
QLearning,synth123,choice_kernel_relative_weight,0.3126463078939629,0.4428849742173293
QLearning,synth123,forget_rate_unchosen,0.333854412221808,0.2280252436312752
QLearning,synth123,learn_rate,0.8302467340369646,0.9857699689108438
QLearning,synth123,softmax_inverse_temperature,15.139716733008257,12.546567163901386
QLearning,synth126,biasL,-0.3320135560647544,-0.2935732089092897
QLearning,synth126,choice_kernel_relative_weight,0.2488717094392781,0.2153943870719303
QLearning,synth126,forget_rate_unchosen,0.1478125692889111,0.1725771176327073
QLearning,synth126,learn_rate,0.634159474028258,0.8511765347863982
QLearning,synth126,softmax_inverse_temperature,7.595934883905992,7.606154986919985
QLearning,synth129,biasL,0.593801617537074,-0.269340562880938
QLearning,synth129,choice_kernel_relative_weight,0.4976386516865015,0.4283475967180778
QLearning,synth129,forget_rate_unchosen,0.0364722316648863,0.2196317841300174
QLearning,synth129,learn_rate,0.5470960064714107,0.9021844586298824
QLearning,synth129,softmax_inverse_temperature,12.638162098646443,16.10032319687409
QLearning,synth132,biasL,-0.3959204753001739,-0.1730714097931143
QLearning,synth132,choice_kernel_relative_weight,0.1680596761407782,0.1941917562618283
QLearning,synth132,forget_rate_unchosen,0.269858261877945,0.178181031612326
QLearning,synth132,learn_rate,0.5322641325653915,0.783218443757846
QLearning,synth132,softmax_inverse_temperature,12.296899613428474,10.602360474718708
QLearning,synth135,biasL,0.4840390194299545,0.2048636357481696
QLearning,synth135,choice_kernel_relative_weight,0.4967282360784767,0.4281792783936001
QLearning,synth135,forget_rate_unchosen,0.3182996537583362,0.1999925744774226
QLearning,synth135,learn_rate,0.8586958254905304,0.9038468598882792
QLearning,synth135,softmax_inverse_temperature,13.13794341769252,11.353995119552174
QLearning,synth138,biasL,0.8510374789745794,0.4979545315150746
QLearning,synth138,choice_kernel_relative_weight,0.4221631189505708,0.3046848860299537
QLearning,synth138,forget_rate_unchosen,0.208064946968898,0.1875416335488678
QLearning,synth138,learn_rate,0.422362496983339,0.7824843726956268
QLearning,synth138,softmax_inverse_temperature,9.45714066060828,9.722773044903894
QLearning,synth141,biasL,-0.1458131013033197,0.0764168268320366
QLearning,synth141,choice_kernel_relative_weight,0.1141513906536807,0.1042984414870162
QLearning,synth141,forget_rate_unchosen,0.2000998109674124,0.1872363842636699
QLearning,synth141,learn_rate,0.9015921356289436,1.0362738028702596
QLearning,synth141,softmax_inverse_temperature,9.830748529537235,8.657983720748037
QLearning,synth144,biasL,-0.3743868440348047,-0.1030815147738306
QLearning,synth144,choice_kernel_relative_weight,0.2773755891454608,0.3268176658596909
QLearning,synth144,forget_rate_unchosen,0.3325433878037997,0.1463043283997351
QLearning,synth144,learn_rate,0.2774626457483126,0.4791684781733366
QLearning,synth144,softmax_inverse_temperature,3.864703874015573,5.547211854738043
QLearning,synth147,biasL,1.5024908773366508,0.8594669413374607
QLearning,synth147,choice_kernel_relative_weight,0.1000659842575661,0.1103092477975463
QLearning,synth147,forget_rate_unchosen,0.2231614954356288,0.1992419711456019
